,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Miltiadous-1,-1.007273228585668,0.7729758478027657,0.1408507289832554,-0.14243544538467567,0.07020838082206683,0.07079937057295642,-0.26424455766112914,0.10104416078668224,-0.0018246707359141565,-0.08668106409233801,0.0663066559661548,0.03535871276855898,0.19984599979421527,0.10731840750579488,-0.04934164539404973
Istambul-pcaka,-0.27864108693378203,-0.06309638175926495,0.3830986566215674,-0.30819617270346594,0.4562937193510987,0.024688213139235016,0.43631518428631616,-0.08130168275452301,-0.3433411110468946,-0.328090555311077,-0.07877700332458178,-0.09816342841766591,-0.16790394682368903,0.02108392257965655,-0.02199033227831257
BrainLat:CL-sub-30021,0.011050492880704067,1.623091826342031,-0.07094757196332929,-0.04936725560969361,0.08334963235635644,0.224050392944401,-0.1886204356678483,0.14741938159445947,0.018419541545387007,0.056924792501201235,0.1817397534555403,-0.021337430808951195,-0.007192090843811291,-0.12353885331914308,0.011671714217381852
Newcastle-84,-1.2904907004792283,-0.03612477828680683,1.0566378572903021,-0.15524858704549285,0.2230705614665712,-0.3592231558164413,0.16834965936792937,0.07345697562229421,-0.26032412444963404,-0.2167307086504934,0.1504031268581249,0.15488156969952518,0.06767533891954806,-0.08911349121676784,0.04505355005364291
Istambul-falmasi1,0.10355119193003086,-0.06639070002399779,-0.5095527277477777,-0.3265247460572043,0.14124598739056593,-0.48898513503651914,0.053402733092660734,0.11457675793248895,0.05898598824153054,-0.2485326309765999,0.10914077565421577,-0.020873365190903603,-0.07685129019405217,0.09221498421632505,-0.03538449163484299
Izmir-44,1.3754065501805857,0.10805488076937834,-0.5637694815594434,1.160220073610734,-0.49795334522954093,-0.2502273413408159,0.27533652060121455,0.11015111764372675,-0.10698061281152212,0.023249324053236098,0.3132231449539853,-0.13864441361575144,0.0743022475957217,0.19831549283762803,-0.1222361138361629
Izmir-138,1.2041609604836017,-0.31959318209732474,0.7141229515234463,-0.2420369714777909,-0.10344384741865105,0.39722210433153216,-0.08360869083959419,0.10440312532974708,0.11167388253200874,0.044434783595036276,-0.038020907781979134,-0.04435152463740464,-0.0001392134434241649,-0.010005783743776852,0.07026673325743323
Miltiadous-41,-0.6022659737461762,-0.35371867006576757,0.4621458568835742,-0.12456461588905761,-0.0009285198614027023,-0.1277058056523543,-0.005253061733332943,-0.3310461599021914,-0.13266894161885356,-0.18231550008867362,-0.007644875172138624,0.05849582027306275,0.015954876225219215,-0.06791555059882842,-0.1959624904919872
BrainLat:AR-sub-100024,1.8226064040002505,-0.1506506947037877,-0.17930165638904738,-0.055919765402094125,-0.2416687487139775,0.2323511335679562,0.38760580475949663,0.015579556329988108,-0.016835918472608666,-0.09671553628858565,-0.1647493379511817,0.11337090868557063,-0.18453378760846156,-0.20868679334132517,0.01952961228557202
Izmir-26,1.3276061951466773,0.1307663950945356,-0.5219795329327087,-0.7874433543539769,-0.48586378976810884,-0.22216487283220185,-0.41184560426827593,0.3402899401508088,-0.06891690643910672,-0.08221144425261397,-0.05338788662635898,-0.36062186780287914,-0.042285566124484315,0.24034582661509074,0.0875409974838415
