Method,Datasets,PCs,Avg F1,Std F1
nestedcombat-,5,8,0.683914525793707,0.026469833652430098
none,6,15,0.6580924937141567,
none,6,14,0.6876316500135026,
none,6,13,0.6692423354480641,
none,6,12,0.6483474025765112,
none,6,11,0.6708065798324465,
none,6,10,0.6815014505191085,
none,6,9,0.6780416000559093,
none,6,8,0.6479108728194466,
none,6,7,0.6696895817172127,
none,6,6,0.6594202898550725,
none,6,5,0.6696895817172127,
none,6,4,0.6890395593296859,
none,6,3,0.6682608002550613,
none,6,2,0.6342593754468494,
neuroharmonize,6,15,0.6918508166907573,
neuroharmonize,6,14,0.693999815880105,
neuroharmonize,6,13,0.6803672697812584,
neuroharmonize,6,12,0.6871910048874198,
neuroharmonize,6,11,0.7269974805887467,
neuroharmonize,6,10,0.7025463830584708,
neuroharmonize,6,9,0.7063519547288393,
neuroharmonize,6,8,0.6846002476717162,
neuroharmonize,6,7,0.6676282051282051,
neuroharmonize,6,6,0.6711052383495848,
neuroharmonize,6,5,0.6785903021858338,
neuroharmonize,6,4,0.690025928249797,
neuroharmonize,6,3,0.6610490785214758,
neuroharmonize,6,2,0.6108517132162395,
neuroharmonize2,6,15,0.7051572790358464,
neuroharmonize2,6,14,0.6871910048874198,
neuroharmonize2,6,13,0.6876316500135026,
neuroharmonize2,6,10,0.6948960302457468,
neuroharmonize2,6,9,0.7132469995127453,
neuroharmonize2,6,7,0.6962711974848095,
neuroharmonize2,6,6,0.6820791527313266,
neuroharmonize2,6,5,0.6965301003344482,
neuroharmonize2,6,4,0.6898959654558182,
neuroharmonize2,6,3,0.67205974133296,
neuroharmonize2,6,2,0.6145584094544396,
neuroharmonize2,6,12,0.7017402604740515,
neuroharmonize2,6,11,0.7415576149573468,
neuroharmonize2,6,8,0.6815014505191085,
nestedcombat+,6,15,0.6810869833502353,
nestedcombat+,6,14,0.6828161148783407,
nestedcombat+,6,13,0.6914682906149789,
nestedcombat+,6,10,0.6994408728919653,
nestedcombat+,6,9,0.6638767820495757,
nestedcombat+,6,7,0.6773496786526751,
nestedcombat+,6,6,0.6569222326702722,
nestedcombat+,6,5,0.6496995428317515,
nestedcombat+,6,4,0.6606551296465869,
nestedcombat+,6,3,0.6384180922438208,
nestedcombat+,6,2,0.6349629568495393,
nestedcombat+,6,12,0.6914682906149789,
nestedcombat+,6,11,0.7377141278972328,
nestedcombat+,6,8,0.6666666666666666,
nestedcombat-,6,15,0.7025463830584708,
nestedcombat-,6,14,0.721168038707004,
nestedcombat-,6,13,0.6991013857097982,
nestedcombat-,6,10,0.717391304347826,
nestedcombat-,6,9,0.6927906072496122,
nestedcombat-,6,7,0.6745762830194387,
nestedcombat-,6,6,0.6927906072496122,
nestedcombat-,6,5,0.6682608002550613,
nestedcombat-,6,4,0.7188607256219088,
nestedcombat-,6,3,0.6496995428317515,
nestedcombat-,6,2,0.6496995428317515,
nestedcombat-,6,12,0.7346669284363591,
nestedcombat-,6,11,0.7201281299945158,
nestedcombat-,6,8,0.6887400539164015,
